Date,State,Persons,Cost Per Person
10/1/22,Alabama,775879,195.58
11/1/22,Alabama,780872,275.49
10/1/22,Arizona,875535,180.00
11/1/22,Arizona,875379,181.06
10/1/22,Arkansas,233193,206.68
11/1/22,Arkansas,265149,178.10
10/1/22,California,5052731,282.76
11/1/22,California,5166416,280.49
10/1/22,Colorado,552462,272.88
11/1/22,Colorado,554386,275.99
10/1/22,Connecticut,387527,291.34
11/1/22,Connecticut,385500,292.08
10/1/22,Florida,3384172,214.07
11/1/22,Florida,2869030,213.03
10/1/22,Georgia,1579073,185.56
11/1/22,Georgia,1613871,187.05
10/1/22,Illinois,2032657,271.52
11/1/22,Illinois,2036869,272.99
10/1/22,Indiana,599932,189.24
11/1/22,Indiana,597005,193.09
10/1/22,Kentucky,549001,173.92
11/1/22,Kentucky,551185,173.51
10/1/22,Louisiana,872683,278.45
11/1/22,Louisiana,896844,276.41
10/1/22,Maine,167793,286.76
11/1/22,Maine,168314,286.16
10/1/22,Maryland,645467,279.58
11/1/22,Maryland,656507,282.53
10/1/22,Massachusetts,1061815,288.62
11/1/22,Massachusetts,1058606,289.99
10/1/22,Michigan,1406035,269.21
11/1/22,Michigan,1394717,280.84
10/1/22,Minnesota,454504,253.19
11/1/22,Minnesota,458765,250.26
10/1/22,Missouri,673306,193.72
11/1/22,Missouri,675463,194.65
10/1/22,Nevada,476113,241.99
11/1/22,Nevada,475202,261.98
10/1/22,New Hampshire,71145,278.88
11/1/22,New Hampshire,71087,278.17
10/1/22,New Mexico,513128,258.20
11/1/22,New Mexico,512984,275.73
10/1/22,New York,2830123,296.87
11/1/22,New York,2835706,308.74
10/1/22,North Carolina,1574428,272.47
11/1/22,North Carolina,1602051,277.55
10/1/22,Ohio,1457869,271.70
11/1/22,Ohio,1448138,276.49
10/1/22,Oklahoma,684999,215.77
11/1/22,Oklahoma,690712,265.19
10/1/22,Oregon,730228,273.54
11/1/22,Oregon,722168,255.12
10/1/22,Pennsylvania,1877858,279.28
11/1/22,Pennsylvania,1892551,256.74
10/1/22,Rhode Island,139875,290.08
11/1/22,Rhode Island,141377,291.06
10/1/22,South Carolina,617348,277.14
11/1/22,South Carolina,612285,278.13
10/1/22,South Dakota,70984,197.45
11/1/22,South Dakota,70998,197.15
10/1/22,Tennessee,793906,204.09
11/1/22,Tennessee,814533,201.01
10/1/22,Texas,3577166,265.81
11/1/22,Texas,3626359,267.80
10/1/22,Utah,154469,276.94
11/1/22,Utah,157079,273.62
10/1/22,Vermont,71135,257.62
11/1/22,Vermont,70901,274.71
10/1/22,Virginia,828554,286.72
11/1/22,Virginia,831064,290.43
10/1/22,Washington,916801,276.88
11/1/22,Washington,901738,277.48
10/1/22,West Virginia,323477,266.04
11/1/22,West Virginia,323468,266.83
10/1/22,Wisconsin,700338,269.29
11/1/22,Wisconsin,704134,268.47
10/1/22,Wyoming,,
11/1/22,Wyoming,,
