date,persons
2020-01-01,705542.0
2020-02-01,704788.0
2020-03-01,706626.0
2020-04-01,739950.0
2020-05-01,755038.0
2020-06-01,755694.0
2020-07-01,746774.0
2020-08-01,751129.0
2020-09-01,756314.0
