date2,unit_price
2020-05-01,8.170045102209198
2020-12-01,7.868000108713333
2020-19-01,7.98350941473023
2020-26-01,8.060344102859968
2020-02-02,7.979663126696419
2020-09-02,7.959270648903577
2020-16-02,7.939998395321471
2020-23-02,7.979404683018224
2020-01-03,8.036237567538164
2020-08-03,8.002809265502071
2020-15-03,8.487202192868274
2020-22-03,8.799565509328675
2020-29-03,8.606881819072715
2020-05-04,8.94577230071044
2020-12-04,8.82122336443312
2020-19-04,8.78997336366627
2020-26-04,8.705234682861086
2020-03-05,8.894416243341464
2020-10-05,8.80819922641285
2020-17-05,8.701398376755149
2020-24-05,8.930899837486908
2020-31-05,8.808687751246437
2020-07-06,8.688376284344319
2020-14-06,8.600792254484777
2020-21-06,8.662286560735852
2020-28-06,8.596988527405056
2020-05-07,8.925777478276375
2020-12-07,8.58227340209174
2020-19-07,8.61890001395649
2020-26-07,8.481922982960768
2020-02-08,8.570087383359317
2020-09-08,8.435710338989477
2020-16-08,8.622114767608133
2020-23-08,8.563383515926487
2020-30-08,8.35637989009217
2020-06-09,8.542192940763009
2020-13-09,8.678282238586405
2020-20-09,8.681776193116132
2020-27-09,8.802217799106973
2020-04-10,8.608215951432115
2020-11-10,8.485867703065514
2020-18-10,8.48817776166158
2020-25-10,8.514783260662915
2020-01-11,8.585398474757941
2020-08-11,8.487424525043178
2020-15-11,8.522577613523072
2020-22-11,8.691002739942181
2020-29-11,9.0108135250467
2020-06-12,8.378539282135304
2020-13-12,8.440965387323754
2020-20-12,8.669304345225347
2020-27-12,9.107083466403438
