Date,State,Persons,Cost Per Person
10/1/19,Alabama,718792,120.07
11/1/19,Alabama,716466,119.89
12/1/19,Alabama,711384,119.58
1/1/20,Alabama,705542,117.06
2/1/20,Alabama,704788,118.49
3/1/20,Alabama,706626,176.29
4/1/20,Alabama,739950,174.7
5/1/20,Alabama,755038,178.92
6/1/20,Alabama,755694,176.95
7/1/20,Alabama,746774,176.36
8/1/20,Alabama,751129,190.45
9/1/20,Alabama,756314,183.42
10/1/19,Arizona,795313,122.15
11/1/19,Arizona,784993,121.41
12/1/19,Arizona,776402,121.32
1/1/20,Arizona,782194,120.79
2/1/20,Arizona,782903,120.73
3/1/20,Arizona,790961,121.26
4/1/20,Arizona,843738,168.45
5/1/20,Arizona,879292,171.62
6/1/20,Arizona,890285,169.42
7/1/20,Arizona,898875,170.68
8/1/20,Arizona,915512,169.8
9/1/20,Arizona,860912,168.28
10/1/19,Arkansas,350447,110.16
11/1/19,Arkansas,348052,110.38
12/1/19,Arkansas,348050,109.34
1/1/20,Arkansas,343435,108.33
2/1/20,Arkansas,339463,109.89
3/1/20,Arkansas,337151,168.11
4/1/20,Arkansas,381027,170.38
5/1/20,Arkansas,387379,180.46
6/1/20,Arkansas,405518,171.35
7/1/20,Arkansas,424460,167.11
8/1/20,Arkansas,398219,175.63
9/1/20,Arkansas,391984,177.2
10/1/19,California,4040645,125.37
11/1/19,California,4042531,123.1
12/1/19,California,4059554,122.46
1/1/20,California,4043672,121.26
2/1/20,California,4031055,122.37
3/1/20,California,4041711,123.22
4/1/20,California,4451007,171.61
5/1/20,California,4637893,177.46
6/1/20,California,4775267,176.48
7/1/20,California,4564117,177.91
8/1/20,California,4519289,176.62
9/1/20,California,4537280,175.39
10/1/19,Colorado,439390,120.63
11/1/19,Colorado,435937,120.71
12/1/19,Colorado,437241,121.82
1/1/20,Colorado,434142,120.44
2/1/20,Colorado,431397,121.95
3/1/20,Colorado,439355,121.72
4/1/20,Colorado,507074,223.08
5/1/20,Colorado,524084,178.19
6/1/20,Colorado,539331,173.86
