Date,State,Persons,Cost Per Person
4/1/22,Massachusetts,1032580,267.55
5/1/22,Massachusetts,1037812,239.69
6/1/22,Massachusetts,1041662,230.27
7/1/22,Massachusetts,1046946,255.95
8/1/22,Massachusetts,1050682,254.95
9/1/22,Massachusetts,1057692,254.59
10/1/21,Michigan,1332844,236.91
11/1/21,Michigan,1329643,242.87
12/1/21,Michigan,1329628,241.62
1/1/22,Michigan,1311252,249.58
2/1/22,Michigan,1345633,243.89
3/1/22,Michigan,1360482,243.06
4/1/22,Michigan,1348861,244.03
5/1/22,Michigan,1350305,245.24
6/1/22,Michigan,1353650,245.23
7/1/22,Michigan,1387346,239.84
8/1/22,Michigan,1376870,244.68
9/1/22,Michigan,1365336,244.23
10/1/21,Minnesota,433511,317.32
11/1/21,Minnesota,430741,319.39
12/1/21,Minnesota,423724,320.14
1/1/22,Minnesota,428739,314.04
2/1/22,Minnesota,432607,345.48
3/1/22,Minnesota,438521,316.21
4/1/22,Minnesota,436853,327.30
5/1/22,Minnesota,437306,312.27
6/1/22,Minnesota,439503,340.34
7/1/22,Minnesota,440315,225.84
8/1/22,Minnesota,442403,223.68
9/1/22,Minnesota,446696,217.36
10/1/21,Missouri,675781,165.10
11/1/21,Missouri,661436,167.84
12/1/21,Missouri,656356,170.73
1/1/22,Missouri,641804,156.34
2/1/22,Missouri,640799,163.98
3/1/22,Missouri,662058,164.50
4/1/22,Missouri,646945,163.42
5/1/22,Missouri,647541,162.87
6/1/22,Missouri,656973,159.87
7/1/22,Missouri,663821,163.04
8/1/22,Missouri,670652,169.48
9/1/22,Missouri,670276,165.95
10/1/21,Nevada,445002,233.22
11/1/21,Nevada,439595,244.28
12/1/21,Nevada,436116,236.67
1/1/22,Nevada,439091,245.49
2/1/22,Nevada,448298,236.86
3/1/22,Nevada,452466,234.52
4/1/22,Nevada,457087,237.80
5/1/22,Nevada,461638,223.92
6/1/22,Nevada,469249,233.43
7/1/22,Nevada,467604,229.47
8/1/22,Nevada,474358,234.06
9/1/22,Nevada,472270,226.05
10/1/21,New Hampshire,68794,245.61
11/1/21,New Hampshire,68860,246.93
12/1/21,New Hampshire,68860,245.41
1/1/22,New Hampshire,68778,240.08
2/1/22,New Hampshire,67569,243.71
3/1/22,New Hampshire,68632,241.46
4/1/22,New Hampshire,69214,228.27
5/1/22,New Hampshire,69567,244.47
6/1/22,New Hampshire,70077,237.53
7/1/22,New Hampshire,70247,241.01
8/1/22,New Hampshire,70851,242.81
9/1/22,New Hampshire,70668,232.70
10/1/21,New Mexico,550663,248.99
11/1/21,New Mexico,555852,233.37
12/1/21,New Mexico,560820,241.05
1/1/22,New Mexico,565621,209.12
2/1/22,New Mexico,541122,233.21
3/1/22,New Mexico,525010,249.01
4/1/22,New Mexico,499430,250.69
5/1/22,New Mexico,467651,219.83
6/1/22,New Mexico,469175,253.15
7/1/22,New Mexico,484096,226.65
8/1/22,New Mexico,498944,252.92
9/1/22,New Mexico,507206,250.25
10/1/21,New York,2768049,259.97
11/1/21,New York,2778458,270.71
12/1/21,New York,2782455,264.49
1/1/22,New York,2808646,263.22
2/1/22,New York,2836489,262.85
3/1/22,New York,2877376,273.51
4/1/22,New York,2871999,261.24
5/1/22,New York,2873666,260.14
6/1/22,New York,2867285,260.43
7/1/22,New York,2884036,262.46
8/1/22,New York,2876474,235.22
9/1/22,New York,2846983,190.32
10/1/21,North Carolina,1680600,247.81
11/1/21,North Carolina,1700709,247.98
12/1/21,North Carolina,1720044,247.59
1/1/22,North Carolina,1732124,245.86
2/1/22,North Carolina,1666555,246.73
3/1/22,North Carolina,1609101,244.47
4/1/22,North Carolina,1567026,246.62
5/1/22,North Carolina,1540942,247.95
6/1/22,North Carolina,1502118,248.98
7/1/22,North Carolina,1463355,248.76
8/1/22,North Carolina,1486498,247.31
9/1/22,North Carolina,1530082,241.10
10/1/21,Ohio,1495296,247.66
11/1/21,Ohio,1487222,243.81
12/1/21,Ohio,1491183,246.34
1/1/22,Ohio,1485417,246.02
2/1/22,Ohio,1489166,236.37
3/1/22,Ohio,1497948,240.60
4/1/22,Ohio,1498058,235.15
5/1/22,Ohio,1499146,240.93
6/1/22,Ohio,1502137,228.80
7/1/22,Ohio,1492044,235.54
8/1/22,Ohio,1487242,243.12
9/1/22,Ohio,1470665,238.58
10/1/21,Oklahoma,646610,226.12
11/1/21,Oklahoma,645331,235.82
12/1/21,Oklahoma,643114,240.62
1/1/22,Oklahoma,631861,234.64
2/1/22,Oklahoma,630738,240.77
3/1/22,Oklahoma,637221,239.52
4/1/22,Oklahoma,645387,236.66
5/1/22,Oklahoma,651644,237.41
6/1/22,Oklahoma,661560,237.81
7/1/22,Oklahoma,665608,237.02
8/1/22,Oklahoma,671825,236.97
9/1/22,Oklahoma,676777,170.19
10/1/21,Oregon,658538,246.99
11/1/21,Oregon,644999,253.64
12/1/21,Oregon,652384,257.94
1/1/22,Oregon,704121,246.26
2/1/22,Oregon,723818,245.67
3/1/22,Oregon,741936,240.77
4/1/22,Oregon,749776,245.95
5/1/22,Oregon,756301,245.12
6/1/22,Oregon,762374,245.26
7/1/22,Oregon,752959,244.45
8/1/22,Oregon,743363,224.86
9/1/22,Oregon,732387,221.19
10/1/21,Pennsylvania,1813453,248.12
11/1/21,Pennsylvania,1839082,197.96
12/1/21,Pennsylvania,1852459,205.12
1/1/22,Pennsylvania,1847074,222.58
2/1/22,Pennsylvania,1856520,225.17
3/1/22,Pennsylvania,1859781,205.70
4/1/22,Pennsylvania,1861373,240.44
5/1/22,Pennsylvania,1842970,247.34
6/1/22,Pennsylvania,1831448,213.93
7/1/22,Pennsylvania,1836107,214.81
8/1/22,Pennsylvania,1836059,250.82
9/1/22,Pennsylvania,1871300,246.70
10/1/21,Rhode Island,139432,258.96
11/1/21,Rhode Island,138760,261.50
12/1/21,Rhode Island,138366,262.18
1/1/22,Rhode Island,138357,223.10
2/1/22,Rhode Island,138290,254.81
3/1/22,Rhode Island,138953,260.10
4/1/22,Rhode Island,139089,245.03
5/1/22,Rhode Island,139204,249.09
6/1/22,Rhode Island,140294,260.17
7/1/22,Rhode Island,140710,257.30
8/1/22,Rhode Island,140610,258.46
9/1/22,Rhode Island,140274,258.00
10/1/21,South Carolina,617939,245.11
11/1/21,South Carolina,619266,243.41
12/1/21,South Carolina,614987,245.25
1/1/22,South Carolina,606722,243.05
2/1/22,South Carolina,610974,246.15
3/1/22,South Carolina,619070,238.81
4/1/22,South Carolina,620434,249.21
5/1/22,South Carolina,621431,220.80
6/1/22,South Carolina,628799,255.49
7/1/22,South Carolina,624133,206.72
8/1/22,South Carolina,624314,155.74
9/1/22,South Carolina,619666,228.87
10/1/21,South Dakota,71785,170.30
11/1/21,South Dakota,71482,169.90
12/1/21,South Dakota,70961,171.36
1/1/22,South Dakota,71522,169.80
2/1/22,South Dakota,71232,167.73
3/1/22,South Dakota,70901,169.47
4/1/22,South Dakota,70014,163.43
5/1/22,South Dakota,70483,168.30
6/1/22,South Dakota,71098,167.53
7/1/22,South Dakota,71057,165.23
8/1/22,South Dakota,71078,165.28
9/1/22,South Dakota,70534,168.28
10/1/21,Tennessee,831631,247.19
11/1/21,Tennessee,830547,258.81
12/1/21,Tennessee,847018,256.66
1/1/22,Tennessee,838823,166.82
2/1/22,Tennessee,837855,169.73
3/1/22,Tennessee,843906,161.29
4/1/22,Tennessee,828213,157.84
5/1/22,Tennessee,820910,156.18
6/1/22,Tennessee,831118,161.32
7/1/22,Tennessee,800670,161.66
8/1/22,Tennessee,786502,117.88
9/1/22,Tennessee,806886,160.64
10/1/21,Texas,3382376,241.82
11/1/21,Texas,3482631,239.07
12/1/21,Texas,3532220,237.64
1/1/22,Texas,3599788,238.03
2/1/22,Texas,3493004,236.64
3/1/22,Texas,3483575,243.45
4/1/22,Texas,3472171,242.68
5/1/22,Texas,3369419,238.24
6/1/22,Texas,3253888,238.50
7/1/22,Texas,3249595,234.54
8/1/22,Texas,3453436,253.31
9/1/22,Texas,3516606,228.15
10/1/21,Utah,157816,248.94
11/1/21,Utah,155719,245.17
12/1/21,Utah,157493,248.34
1/1/22,Utah,156330,234.15
2/1/22,Utah,158491,251.86
3/1/22,Utah,157443,243.79
4/1/22,Utah,155707,174.08
5/1/22,Utah,155168,232.72
6/1/22,Utah,155384,115.09
7/1/22,Utah,155495,247.63
8/1/22,Utah,155974,243.94
9/1/22,Utah,154467,244.75
10/1/21,Vermont,66655,252.55
11/1/21,Vermont,67693,250.31
12/1/21,Vermont,68634,252.47
1/1/22,Vermont,69992,230.88
2/1/22,Vermont,70103,246.88
3/1/22,Vermont,70030,249.28
4/1/22,Vermont,69855,224.19
5/1/22,Vermont,69736,247.42
6/1/22,Vermont,69754,248.78
7/1/22,Vermont,69900,249.09
8/1/22,Vermont,70475,247.76
9/1/22,Vermont,70970,260.92
10/1/21,Virginia,790650,245.13
11/1/21,Virginia,748963,266.32
12/1/21,Virginia,750461,268.75
1/1/22,Virginia,769620,261.17
2/1/22,Virginia,778753,264.79
3/1/22,Virginia,795490,179.26
4/1/22,Virginia,807333,245.90
5/1/22,Virginia,812586,241.03
6/1/22,Virginia,813950,247.85
7/1/22,Virginia,816061,254.04
8/1/22,Virginia,825660,200.01
9/1/22,Virginia,826226,255.18
10/1/21,Washington,858744,249.34
11/1/21,Washington,841721,249.21
12/1/21,Washington,841737,225.92
1/1/22,Washington,848620,236.33
2/1/22,Washington,856261,245.79
3/1/22,Washington,867300,240.20
4/1/22,Washington,882317,217.56
5/1/22,Washington,887043,232.49
6/1/22,Washington,896586,246.71
7/1/22,Washington,907111,247.25
8/1/22,Washington,906150,249.57
9/1/22,Washington,900922,249.10
10/1/21,West Virginia,299037,246.69
11/1/21,West Virginia,305209,236.86
12/1/21,West Virginia,303347,246.17
1/1/22,West Virginia,304430,245.71
2/1/22,West Virginia,304659,238.24
3/1/22,West Virginia,313719,233.77
4/1/22,West Virginia,312813,231.49
5/1/22,West Virginia,308015,237.51
6/1/22,West Virginia,317164,208.10
7/1/22,West Virginia,314653,238.76
8/1/22,West Virginia,323586,238.05
9/1/22,West Virginia,323913,245.42
10/1/21,Wisconsin,753320,245.70
11/1/21,Wisconsin,736763,245.72
12/1/21,Wisconsin,729235,245.17
1/1/22,Wisconsin,710787,247.06
2/1/22,Wisconsin,714211,244.02
3/1/22,Wisconsin,696998,245.32
4/1/22,Wisconsin,698385,243.54
5/1/22,Wisconsin,691724,243.88
6/1/22,Wisconsin,691309,241.90
7/1/22,Wisconsin,688670,241.76
8/1/22,Wisconsin,695036,241.77
