State,Category,Year,AverageUnitPrice
Arkansas,"Meats, eggs, and nuts",2019.0,4.187297432134098
Arkansas,"Meats, eggs, and nuts",2020.0,4.310171329367446
Arkansas,"Meats, eggs, and nuts",2021.0,4.635828201019385
Arkansas,"Meats, eggs, and nuts",2022.0,5.135343486905572
Arkansas,Sugar and sweeteners,2019.0,2.9867269789271114
Arkansas,Sugar and sweeteners,2020.0,3.397385241520827
Arkansas,Sugar and sweeteners,2021.0,3.5877382587596847
Arkansas,Sugar and sweeteners,2022.0,4.073947456036241
Arkansas,Vegetables,2019.0,1.6062889092678936
Arkansas,Vegetables,2020.0,1.7211839434294764
Arkansas,Vegetables,2021.0,1.7865308092799146
Arkansas,Vegetables,2022.0,1.9760594307880475
California,Alcohol,2019.0,9.601381799079151
California,Alcohol,2020.0,9.992391973904294
California,Alcohol,2021.0,10.09594088695823
California,Alcohol,2022.0,10.235320296969286
California,Beverages,2019.0,2.5888758185060987
California,Beverages,2020.0,2.66580526084482
California,Beverages,2021.0,2.8219510104098973
California,Beverages,2022.0,3.1571530230235783
California,Commercially prepared items,2019.0,2.8795407403202202
California,Commercially prepared items,2020.0,2.981399128752287
California,Commercially prepared items,2021.0,3.1270277814637932
California,Commercially prepared items,2022.0,3.562750936711845
California,Dairy,2019.0,3.1543358379071
California,Dairy,2020.0,3.2686802044895966
California,Dairy,2021.0,3.336189925296833
California,Dairy,2022.0,3.684319911200743
California,Fats and oils,2019.0,4.148789479434113
California,Fats and oils,2020.0,4.374690944450081
California,Fats and oils,2021.0,4.482289611882295
California,Fats and oils,2022.0,5.438830281195025
California,Fruits,2019.0,2.583537685776866
California,Fruits,2020.0,2.675366540791976
California,Fruits,2021.0,2.8139298413213876
California,Fruits,2022.0,3.1141294979315752
California,Grains,2019.0,2.477084459170927
California,Grains,2020.0,2.6775738384126013
California,Grains,2021.0,2.7810660728322314
California,Grains,2022.0,3.0822323840287695
California,"Meats, eggs, and nuts",2019.0,4.896820688598422
California,"Meats, eggs, and nuts",2020.0,5.133633067319171
California,"Meats, eggs, and nuts",2021.0,5.447238594822607
California,"Meats, eggs, and nuts",2022.0,5.979815348672427
California,Sugar and sweeteners,2019.0,3.286917745714203
California,Sugar and sweeteners,2020.0,3.7620673994016696
California,Sugar and sweeteners,2021.0,3.937748992427759
California,Sugar and sweeteners,2022.0,4.505676589192309
California,Vegetables,2019.0,1.9298631182529842
California,Vegetables,2020.0,1.9967817639969483
California,Vegetables,2021.0,2.02684295370204
California,Vegetables,2022.0,2.1834138802175476
Colorado,Alcohol,2019.0,8.655283056131934
Colorado,Alcohol,2020.0,8.716978190946113
Colorado,Alcohol,2021.0,9.014823502739535
Colorado,Alcohol,2022.0,9.298979106946371
Colorado,Beverages,2019.0,2.707386902283554
Colorado,Beverages,2020.0,2.771647433531795
Colorado,Beverages,2021.0,2.909440654081868
Colorado,Beverages,2022.0,3.2876594531690237
Colorado,Commercially prepared items,2019.0,2.7654798555239455
Colorado,Commercially prepared items,2020.0,2.8363674782710415
Colorado,Commercially prepared items,2021.0,2.99181233248026
Colorado,Commercially prepared items,2022.0,3.441912815040969
Colorado,Dairy,2019.0,2.913749438671936
Colorado,Dairy,2020.0,3.0503094412407106
Colorado,Dairy,2021.0,3.10805770897862
Colorado,Dairy,2022.0,3.4691724220970506
Colorado,Fats and oils,2019.0,3.982666174472492
Colorado,Fats and oils,2020.0,4.100132201790251
Colorado,Fats and oils,2021.0,4.263547607730437
Colorado,Fats and oils,2022.0,5.263543071960942
Colorado,Fruits,2019.0,2.3280941883417348
Colorado,Fruits,2020.0,2.4143797751481575
Colorado,Fruits,2021.0,2.577667841036051
Colorado,Fruits,2022.0,2.856593159785973
Colorado,Grains,2019.0,2.4241717498206232
Colorado,Grains,2020.0,2.520606374778503
Colorado,Grains,2021.0,2.617142757331624
Colorado,Grains,2022.0,3.002924816495293
Colorado,"Meats, eggs, and nuts",2019.0,4.892530831040668
Colorado,"Meats, eggs, and nuts",2020.0,4.962802320586764
Colorado,"Meats, eggs, and nuts",2021.0,5.238045180563717
Colorado,"Meats, eggs, and nuts",2022.0,5.814656429707809
Colorado,Sugar and sweeteners,2019.0,3.491115216321401
Colorado,Sugar and sweeteners,2020.0,3.972420845320308
Colorado,Sugar and sweeteners,2021.0,4.078846586196852
Colorado,Sugar and sweeteners,2022.0,4.722229911621626
Colorado,Vegetables,2019.0,1.8320539142266397
Colorado,Vegetables,2020.0,1.8447129069505084
Colorado,Vegetables,2021.0,1.9155683297993535
Colorado,Vegetables,2022.0,2.0879124568535414
Connecticut,Alcohol,2019.0,9.183857739830367
Connecticut,Alcohol,2020.0,9.584503575893681
