Date,State,Persons,Cost Per Person
10/1/20,Alabama,787978,185.62
11/1/20,Alabama,793944,192.46
12/1/20,Alabama,765476,185.45
1/1/21,Alabama,780532,210.60
2/1/21,Alabama,793255,212.38
3/1/21,Alabama,763561,213.89
4/1/21,Alabama,755275,230.16
5/1/21,Alabama,755065,224.12
6/1/21,Alabama,757590,223.57
7/1/21,Alabama,759489,229.28
8/1/21,Alabama,759348,219.38
9/1/21,Alabama,763754,240.54
10/1/20,Arizona,842358,177.36
11/1/20,Arizona,816014,178.63
12/1/20,Arizona,842716,179.74
1/1/21,Arizona,884716,199.01
2/1/21,Arizona,907158,184.62
3/1/21,Arizona,920868,204.55
4/1/21,Arizona,933819,205.06
5/1/21,Arizona,954765,242.72
6/1/21,Arizona,917398,226.01
7/1/21,Arizona,875323,224.54
8/1/21,Arizona,851592,224.52
9/1/21,Arizona,802750,222.91
10/1/20,Arkansas,377077,183.33
11/1/20,Arkansas,359966,183.50
12/1/20,Arkansas,351931,185.88
1/1/21,Arkansas,347714,207.48
2/1/21,Arkansas,348755,206.03
3/1/21,Arkansas,351316,205.41
4/1/21,Arkansas,342068,221.49
5/1/21,Arkansas,333362,221.51
6/1/21,Arkansas,332663,196.16
7/1/21,Arkansas,352201,126.46
8/1/21,Arkansas,333818,134.48
9/1/21,Arkansas,323246,138.39
10/1/20,California,4375694,185.01
11/1/20,California,4245238,185.49
12/1/20,California,4234649,185.69
1/1/21,California,4368759,180.73
2/1/21,California,4451404,233.45
3/1/21,California,4309750,215.36
4/1/21,California,4291627,217.82
5/1/21,California,4259446,240.79
6/1/21,California,4237518,239.76
7/1/21,California,4412673,233.71
8/1/21,California,4340990,239.44
9/1/21,California,4396992,240.20
10/1/20,Colorado,506102,183.78
11/1/20,Colorado,476756,191.90
12/1/20,Colorado,497997,183.51
1/1/21,Colorado,499164,210.10
2/1/21,Colorado,507441,215.08
3/1/21,Colorado,512057,214.12
4/1/21,Colorado,517146,226.74
5/1/21,Colorado,522550,225.79
6/1/21,Colorado,513617,237.22
7/1/21,Colorado,512297,231.80
8/1/21,Colorado,565496,200.23
9/1/21,Colorado,536718,216.43
10/1/20,Connecticut,365607,188.75
11/1/20,Connecticut,360157,187.26
12/1/20,Connecticut,365498,188.69
1/1/21,Connecticut,368684,215.87
2/1/21,Connecticut,373747,214.46
3/1/21,Connecticut,376924,214.78
4/1/21,Connecticut,376581,244.15
5/1/21,Connecticut,379351,245.11
6/1/21,Connecticut,376195,204.02
7/1/21,Connecticut,372661,244.08
8/1/21,Connecticut,372430,243.85
9/1/21,Connecticut,371752,243.68
10/1/20,Florida,3672011,185.95
11/1/20,Florida,3510072,184.97
12/1/20,Florida,3462997,187.14
1/1/21,Florida,3465806,212.94
2/1/21,Florida,3343701,214.62
3/1/21,Florida,3299396,214.40
4/1/21,Florida,3270866,214.07
5/1/21,Florida,3332113,253.50
6/1/21,Florida,3334019,195.53
7/1/21,Florida,3290398,225.46
8/1/21,Florida,3167392,138.74
9/1/21,Florida,3125813,128.93
10/1/20,Georgia,1770106,180.94
11/1/20,Georgia,1725595,182.13
12/1/20,Georgia,1694533,179.90
1/1/21,Georgia,1736230,182.99
2/1/21,Georgia,1734395,180.41
3/1/21,Georgia,1644201,235.37
4/1/21,Georgia,1605345,205.99
5/1/21,Georgia,1577535,208.34
6/1/21,Georgia,1561708,270.39
7/1/21,Georgia,1539533,225.11
8/1/21,Georgia,1551156,226.49
9/1/21,Georgia,1547070,225.58
10/1/20,Illinois,2021384,185.38
11/1/20,Illinois,2003672,184.86
12/1/20,Illinois,2023782,186.14
1/1/21,Illinois,2052650,211.45
2/1/21,Illinois,2050596,212.07
3/1/21,Illinois,2063370,213.60
4/1/21,Illinois,2044420,228.83
5/1/21,Illinois,1949932,236.41
6/1/21,Illinois,1954847,233.82
7/1/21,Illinois,1925502,229.43
8/1/21,Illinois,1914912,220.04
9/1/21,Illinois,1824419,232.20
10/1/20,Indiana,643454,187.26
11/1/20,Indiana,638340,186.66
12/1/20,Indiana,666161,187.03
1/1/21,Indiana,677873,210.97
2/1/21,Indiana,669397,211.85
3/1/21,Indiana,659377,211.85
4/1/21,Indiana,646349,224.05
5/1/21,Indiana,642595,194.46
6/1/21,Indiana,635954,221.87
7/1/21,Indiana,627069,228.68
8/1/21,Indiana,619772,229.84
9/1/21,Indiana,622712,215.20
10/1/20,Kentucky,575446,187.85
11/1/20,Kentucky,591650,187.72
12/1/20,Kentucky,616578,186.24
1/1/21,Kentucky,624724,210.98
2/1/21,Kentucky,625364,214.81
3/1/21,Kentucky,622817,213.94
4/1/21,Kentucky,626855,212.25
5/1/21,Kentucky,603132,209.74
6/1/21,Kentucky,625938,253.58
7/1/21,Kentucky,582008,232.55
8/1/21,Kentucky,556795,361.29
9/1/21,Kentucky,521657,234.31
10/1/20,Louisiana,988329,211.39
11/1/20,Louisiana,975770,197.67
12/1/20,Louisiana,961545,184.09
1/1/21,Louisiana,987599,209.72
2/1/21,Louisiana,1007436,211.74
3/1/21,Louisiana,922784,212.16
4/1/21,Louisiana,882910,244.61
5/1/21,Louisiana,857954,231.59
6/1/21,Louisiana,872619,233.40
7/1/21,Louisiana,843966,231.19
8/1/21,Louisiana,823113,225.61
9/1/21,Louisiana,972648,276.17
10/1/20,Maine,154380,186.61
11/1/20,Maine,154018,185.77
12/1/20,Maine,150696,192.58
1/1/21,Maine,154069,219.93
2/1/21,Maine,158338,214.29
3/1/21,Maine,158479,215.44
4/1/21,Maine,157816,233.26
5/1/21,Maine,157712,234.01
6/1/21,Maine,163254,226.13
7/1/21,Maine,163412,227.19
8/1/21,Maine,161508,228.88
9/1/21,Maine,157460,232.32
10/1/20,Maryland,697144,187.46
11/1/20,Maryland,759660,192.15
12/1/20,Maryland,797909,189.84
1/1/21,Maryland,824762,211.85
2/1/21,Maryland,843794,221.11
3/1/21,Maryland,857165,211.78
4/1/21,Maryland,850513,213.27
5/1/21,Maryland,848382,229.30
6/1/21,Maryland,835449,227.43
7/1/21,Maryland,854993,240.56
8/1/21,Maryland,854592,223.64
9/1/21,Maryland,857652,248.12
10/1/20,Massachusetts,881314,188.32
11/1/20,Massachusetts,886834,168.26
12/1/20,Massachusetts,900624,195.36
1/1/21,Massachusetts,916806,165.81
2/1/21,Massachusetts,933727,204.98
3/1/21,Massachusetts,925152,213.21
4/1/21,Massachusetts,947324,208.87
5/1/21,Massachusetts,952856,235.39
6/1/21,Massachusetts,934657,240.91
7/1/21,Massachusetts,936275,257.96
8/1/21,Massachusetts,959000,223.16
9/1/21,Massachusetts,973777,221.18
10/1/20,Michigan,1243376,186.22
11/1/20,Michigan,1264302,185.05
12/1/20,Michigan,1288627,182.38
1/1/21,Michigan,1299040,213.47
2/1/21,Michigan,1316634,211.97
3/1/21,Michigan,1308226,209.44
4/1/21,Michigan,1263496,199.20
5/1/21,Michigan,1250159,257.45
6/1/21,Michigan,1252750,207.51
7/1/21,Michigan,1340469,222.38
8/1/21,Michigan,1250392,230.52
9/1/21,Michigan,1261080,234.44
10/1/20,Minnesota,436693,254.71
11/1/20,Minnesota,436362,250.33
12/1/20,Minnesota,444096,254.83
1/1/21,Minnesota,469979,270.88
2/1/21,Minnesota,459561,288.56
3/1/21,Minnesota,462770,389.95
4/1/21,Minnesota,463231,440.96
5/1/21,Minnesota,464714,498.86
6/1/21,Minnesota,465318,405.69
7/1/21,Minnesota,452449,701.81
8/1/21,Minnesota,441656,300.19
9/1/21,Minnesota,434990,314.20
10/1/20,Missouri,726067,183.39
11/1/20,Missouri,696615,184.36
12/1/20,Missouri,702463,185.39
1/1/21,Missouri,692593,212.49
2/1/21,Missouri,699811,213.35
3/1/21,Missouri,712239,211.45
4/1/21,Missouri,693263,227.04
5/1/21,Missouri,691375,228.61
6/1/21,Missouri,695200,225.92
7/1/21,Missouri,698864,227.69
8/1/21,Missouri,692604,228.36
9/1/21,Missouri,683546,155.37
10/1/20,Nevada,483693,175.30
11/1/20,Nevada,477920,188.89
12/1/20,Nevada,442157,176.19
1/1/21,Nevada,464298,176.14
2/1/21,Nevada,482335,180.24
3/1/21,Nevada,477172,203.08
4/1/21,Nevada,448863,224.67
5/1/21,Nevada,427799,222.28
6/1/21,Nevada,428387,221.35
7/1/21,Nevada,426535,220.20
8/1/21,Nevada,437871,214.86
9/1/21,Nevada,441968,199.17
10/1/20,New Hampshire,70164,180.63
11/1/20,New Hampshire,69973,180.53
12/1/20,New Hampshire,70106,182.83
1/1/21,New Hampshire,68802,206.66
2/1/21,New Hampshire,68540,210.73
3/1/21,New Hampshire,69697,213.53
