Date,State,Persons,Cost Per Person
4/1/21,New Hampshire,68932,226.40
5/1/21,New Hampshire,68834,226.23
6/1/21,New Hampshire,68773,223.02
7/1/21,New Hampshire,68530,225.28
8/1/21,New Hampshire,68125,228.76
9/1/21,New Hampshire,68920,222.71
10/1/20,New Mexico,475470,182.18
11/1/20,New Mexico,492885,182.00
12/1/20,New Mexico,507084,182.59
1/1/21,New Mexico,515088,182.28
2/1/21,New Mexico,520661,181.82
3/1/21,New Mexico,526461,256.55
4/1/21,New Mexico,527725,235.45
5/1/21,New Mexico,527763,233.83
6/1/21,New Mexico,531154,231.23
7/1/21,New Mexico,535639,233.32
8/1/21,New Mexico,540579,233.22
9/1/21,New Mexico,545421,230.69
10/1/20,New York,2781742,190.39
11/1/20,New York,2720372,198.95
12/1/20,New York,2742577,186.76
1/1/21,New York,2758288,213.38
2/1/21,New York,2760769,214.87
3/1/21,New York,2790766,214.74
4/1/21,New York,2818184,244.73
5/1/21,New York,2815830,245.78
6/1/21,New York,2826820,248.36
7/1/21,New York,2798640,216.06
8/1/21,New York,2778310,230.63
9/1/21,New York,2776268,222.65
10/1/20,North Carolina,1424340,183.40
11/1/20,North Carolina,1399143,188.56
12/1/20,North Carolina,1449615,185.21
1/1/21,North Carolina,1495798,199.51
2/1/21,North Carolina,1531023,196.81
3/1/21,North Carolina,1557339,229.64
4/1/21,North Carolina,1569109,207.12
5/1/21,North Carolina,1582403,265.47
6/1/21,North Carolina,1598098,226.97
7/1/21,North Carolina,1612506,232.99
8/1/21,North Carolina,1628719,231.66
9/1/21,North Carolina,1651835,231.81
10/1/20,Ohio,1498880,185.94
11/1/20,Ohio,1464612,184.48
12/1/20,Ohio,1456030,191.79
1/1/21,Ohio,1536645,212.18
2/1/21,Ohio,1532847,212.71
3/1/21,Ohio,1535731,210.99
4/1/21,Ohio,1535325,228.90
5/1/21,Ohio,1539008,220.27
6/1/21,Ohio,1542770,225.80
7/1/21,Ohio,1497379,231.38
8/1/21,Ohio,1483344,224.44
9/1/21,Ohio,1490681,229.93
10/1/20,Oklahoma,625112,180.04
11/1/20,Oklahoma,615621,180.75
12/1/20,Oklahoma,611487,179.41
1/1/21,Oklahoma,608484,197.08
2/1/21,Oklahoma,608510,206.54
3/1/21,Oklahoma,612931,205.32
4/1/21,Oklahoma,607815,210.10
5/1/21,Oklahoma,614778,209.95
6/1/21,Oklahoma,628127,230.48
7/1/21,Oklahoma,622337,215.09
8/1/21,Oklahoma,632319,197.84
9/1/21,Oklahoma,642265,167.33
10/1/20,Oregon,661328,188.71
11/1/20,Oregon,685767,188.11
12/1/20,Oregon,705101,188.56
1/1/21,Oregon,717568,215.86
2/1/21,Oregon,754336,205.48
3/1/21,Oregon,754221,208.19
4/1/21,Oregon,715336,217.90
5/1/21,Oregon,725771,262.80
6/1/21,Oregon,712595,237.37
7/1/21,Oregon,686424,235.16
8/1/21,Oregon,678916,237.78
9/1/21,Oregon,678166,228.74
10/1/20,Pennsylvania,1841766,180.07
11/1/20,Pennsylvania,1810277,169.02
12/1/20,Pennsylvania,1447615,207.33
1/1/21,Pennsylvania,1799807,206.26
2/1/21,Pennsylvania,1795163,207.15
3/1/21,Pennsylvania,1783981,209.07
4/1/21,Pennsylvania,1782922,260.61
5/1/21,Pennsylvania,1778560,447.81
6/1/21,Pennsylvania,1771130,348.66
7/1/21,Pennsylvania,1777407,230.55
8/1/21,Pennsylvania,1792493,229.79
9/1/21,Pennsylvania,1816279,229.07
10/1/20,Rhode Island,136608,186.40
11/1/20,Rhode Island,137904,187.07
12/1/20,Rhode Island,141547,187.84
1/1/21,Rhode Island,143774,216.86
2/1/21,Rhode Island,144535,214.34
3/1/21,Rhode Island,146326,214.36
4/1/21,Rhode Island,146389,244.39
5/1/21,Rhode Island,144604,239.63
6/1/21,Rhode Island,143788,241.81
7/1/21,Rhode Island,141617,243.83
8/1/21,Rhode Island,139478,243.53
9/1/21,Rhode Island,139212,241.51
10/1/20,South Carolina,611862,185.30
11/1/20,South Carolina,604551,184.22
12/1/20,South Carolina,599027,188.40
1/1/21,South Carolina,604551,214.15
2/1/21,South Carolina,610090,215.77
3/1/21,South Carolina,612863,213.59
4/1/21,South Carolina,609831,228.79
5/1/21,South Carolina,602657,227.57
6/1/21,South Carolina,604124,226.33
7/1/21,South Carolina,606295,210.39
8/1/21,South Carolina,614620,225.68
9/1/21,South Carolina,616807,228.59
10/1/20,South Dakota,77417,181.40
11/1/20,South Dakota,76639,180.56
12/1/20,South Dakota,76303,181.66
1/1/21,South Dakota,75925,207.27
2/1/21,South Dakota,76089,207.31
3/1/21,South Dakota,75079,207.28
4/1/21,South Dakota,74061,229.74
5/1/21,South Dakota,73265,230.22
6/1/21,South Dakota,73238,229.96
7/1/21,South Dakota,73168,221.94
8/1/21,South Dakota,72331,150.62
9/1/21,South Dakota,72014,154.76
10/1/20,Tennessee,876025,245.47
11/1/20,Tennessee,882253,251.26
12/1/20,Tennessee,911949,249.06
1/1/21,Tennessee,912733,295.95
2/1/21,Tennessee,900498,297.02
3/1/21,Tennessee,911672,273.51
4/1/21,Tennessee,900984,290.42
5/1/21,Tennessee,873741,323.99
6/1/21,Tennessee,874394,322.26
7/1/21,Tennessee,856009,328.99
8/1/21,Tennessee,836382,336.18
9/1/21,Tennessee,839487,303.41
10/1/20,Texas,3747996,184.19
11/1/20,Texas,3674212,185.41
12/1/20,Texas,3644422,184.73
1/1/21,Texas,3514348,210.41
2/1/21,Texas,3396209,219.84
3/1/21,Texas,3392447,230.39
4/1/21,Texas,3499514,230.00
5/1/21,Texas,3436958,224.18
6/1/21,Texas,3159949,221.11
7/1/21,Texas,3136496,227.70
8/1/21,Texas,3153203,227.46
9/1/21,Texas,3144868,233.38
10/1/20,Utah,165353,124.57
11/1/20,Utah,166030,241.45
12/1/20,Utah,167695,181.44
1/1/21,Utah,168705,209.14
2/1/21,Utah,163367,209.92
3/1/21,Utah,163823,210.80
4/1/21,Utah,163361,225.93
5/1/21,Utah,160205,232.24
6/1/21,Utah,158535,227.93
7/1/21,Utah,158419,228.82
8/1/21,Utah,157110,229.73
9/1/21,Utah,163514,214.92
10/1/20,Vermont,68247,174.38
11/1/20,Vermont,68319,176.08
12/1/20,Vermont,69642,174.66
1/1/21,Vermont,69726,207.65
2/1/21,Vermont,69817,206.92
3/1/21,Vermont,69295,206.14
4/1/21,Vermont,68320,206.79
5/1/21,Vermont,67299,231.44
6/1/21,Vermont,65969,215.31
7/1/21,Vermont,65991,226.72
8/1/21,Vermont,65226,234.79
9/1/21,Vermont,65624,241.82
10/1/20,Virginia,766549,184.24
11/1/20,Virginia,758435,185.17
12/1/20,Virginia,759082,184.15
1/1/21,Virginia,753264,210.78
2/1/21,Virginia,758962,213.88
3/1/21,Virginia,759165,210.34
4/1/21,Virginia,751227,228.62
5/1/21,Virginia,747502,205.11
6/1/21,Virginia,748319,208.34
7/1/21,Virginia,753638,227.17
8/1/21,Virginia,732956,238.90
9/1/21,Virginia,720317,239.21
10/1/20,Washington,936301,182.08
11/1/20,Washington,929584,181.63
12/1/20,Washington,960448,181.90
1/1/21,Washington,976504,182.12
2/1/21,Washington,1016987,224.02
3/1/21,Washington,961819,205.85
4/1/21,Washington,953349,222.52
5/1/21,Washington,914078,234.19
6/1/21,Washington,894680,235.90
7/1/21,Washington,883293,235.15
8/1/21,Washington,862820,230.34
9/1/21,Washington,846119,234.31
10/1/20,West Virginia,303249,184.51
11/1/20,West Virginia,303358,184.32
12/1/20,West Virginia,304116,184.72
1/1/21,West Virginia,304249,210.01
2/1/21,West Virginia,308458,209.95
3/1/21,West Virginia,303737,216.50
4/1/21,West Virginia,305271,230.06
5/1/21,West Virginia,300027,226.78
6/1/21,West Virginia,300801,215.03
7/1/21,West Virginia,298499,229.54
8/1/21,West Virginia,297141,231.22
9/1/21,West Virginia,300420,231.89
10/1/20,Wisconsin,703029,183.47
11/1/20,Wisconsin,721732,182.68
12/1/20,Wisconsin,738300,182.73
1/1/21,Wisconsin,757139,210.73
2/1/21,Wisconsin,757280,213.84
3/1/21,Wisconsin,769699,213.34
4/1/21,Wisconsin,789604,229.70
5/1/21,Wisconsin,790292,229.73
6/1/21,Wisconsin,790890,229.85
7/1/21,Wisconsin,788566,229.58
8/1/21,Wisconsin,777136,230.94
9/1/21,Wisconsin,765074,231.83
10/1/20,Wyoming,28538,185.60
11/1/20,Wyoming,21466,250.07
12/1/20,Wyoming,30038,183.51
1/1/21,Wyoming,30038,212.70
2/1/21,Wyoming,30661,212.66
3/1/21,Wyoming,30480,210.46
4/1/21,Wyoming,29916,225.04
5/1/21,Wyoming,29880,225.85
6/1/21,Wyoming,29666,223.78
7/1/21,Wyoming,29489,227.16
8/1/21,Wyoming,29413,144.75
9/1/21,Wyoming,29831,225.84
